,sentence,values
0,"the rock is destined to be the 21st century 's new `` conan '' and that he 's going to make a splash even greater than arnold schwarzenegger , jean-claud van damme or steven segal .",0.69444
1,the gorgeously elaborate continuation of `` the lord of the rings '' trilogy is so huge that a column of words can not adequately describe co-writer\/director peter jackson 's expanded vision of j.r.r. tolkien 's middle-earth .,0.8333299999999999
2,"singer\/composer bryan adams contributes a slew of songs -- a few potential hits , a few more simply intrusive to the story -- but the whole package certainly captures the intended , er , spirit of the piece .",0.625
3,you 'd think by now america would have had enough of plucky british eccentrics with hearts of gold .,0.5
4,yet the act is still charming here .,0.72222
5,"whether or not you 're enlightened by any of derrida 's lectures on `` the other '' and `` the self , '' derrida is an undeniably fascinating and playful fellow .",0.8333299999999999
6,just the labour involved in creating the layered richness of the imagery in this chiaroscuro of madness and light is astonishing .,0.875
7,part of the charm of satin rouge is that it avoids the obvious with humour and lightness .,0.72222
8,a screenplay more ingeniously constructed than `` memento '',0.8333299999999999
9,`` extreme ops '' exceeds expectations .,0.73611
10,"good fun , good action , good acting , good dialogue , good pace , good cinematography .",0.90278
11,you should pay nine bucks for this : because you can hear about suffering afghan refugees on the news and still be unaffected .,0.44444
12,dramas like this make it human .,0.80556
13,"a thunderous ride at first , quiet cadences of pure finesse are few and far between ; their shortage dilutes the potency of otherwise respectable action .",0.44444
14,"still , this flick is fun , and host to some truly excellent sequences .",0.81944
15,australian actor\/director john polson and award-winning english cinematographer giles nuttgens make a terrific effort at disguising the obvious with energy and innovation .,0.75
16,you walk out of the good girl with mixed emotions -- disapproval of justine combined with a tinge of understanding for her actions .,0.61111
17,post \/ the philosophical message of `` personal freedom first '' might not be as palatable as intended .,0.44444
18,absorbing character study by andrã© turpin .,0.81944
19,"if you love reading and\/or poetry , then by all means check it out .",0.77778
20,you 'll probably love it .,0.81944
21,"`` frailty '' has been written so well , that even a simple `` goddammit ! ''",0.63889
22,near the end takes on a whole other meaning .,0.55556
23,"grenier is terrific , bringing an unforced , rapid-fire delivery to toback 's heidegger - and nietzsche-referencing dialogue .",0.875
24,the sundance film festival has become so buzz-obsessed that fans and producers descend upon utah each january to ferret out the next great thing .,0.55556
25,"` tadpole ' was one of the films so declared this year , but it 's really more of the next pretty good thing .",0.51389
26,the actors are fantastic .,0.94444
27,they are what makes it worth the trip to the theatre .,0.72222
28,"( taymor ) utilizes the idea of making kahlo 's art a living , breathing part of the movie , often catapulting the artist into her own work .",0.93056
29,this is n't a new idea .,0.33333
30,it 's been done before but never so vividly or with so much passion .,0.81944
31,( `` take care of my cat '' ) is an honestly nice little film that takes us on an examination of young adult life in urban south korea through the hearts and minds of the five principals .,0.77778
32,"it 's not life-affirming -- its vulgar and mean , but i liked it .",0.56944
33,what `` empire '' lacks in depth it makes up for with its heart .,0.73611
34,"light , silly , photographed with colour and depth , and rather a good time .",0.86111
35,but tongue-in-cheek preposterousness has always been part of for the most part wilde 's droll whimsy helps `` being earnest '' overcome its weaknesses and parker 's creative interference ...,0.68056
36,much of the movie 's charm lies in the utter cuteness of stuart and margolo .,0.73611
37,their computer-animated faces are very expressive .,0.72222
38,"the path ice age follows most closely , though , is the one established by warner bros. giant chuck jones , who died a matter of weeks before the movie 's release .",0.54167
39,"... spiced with humor ( ' i speak fluent flatula , ' advises denlopp after a rather , er , bubbly exchange with an alien deckhand ) and witty updatings ( silver 's parrot has been replaced with morph , a cute alien creature who mimics everyone and everything around )",0.68056
40,there 's an energy to y tu mamã¡ tambiã©n .,0.76389
41,"much of it comes from the brave , uninhibited performances by its lead actors .",0.8333299999999999
42,"``  conversations '' holds its goodwill close , but is relatively slow to come to the point .",0.40278
43,`` auto focus '' works as an unusual biopic and document of male swingers in the playboy era,0.65278
44,"if mr. zhang 's subject matter is , to some degree at least , quintessentially american , his approach to storytelling might be called iranian .",0.52778
45,... a sour little movie at its core ; an exploration of the emptiness that underlay the relentless gaiety of the  's ... the film 's ending has a `` what was it all for ? '',0.16667
46,"feeling to it , but like the  's , the trip there is a great deal of fun .",0.77778
47,`` cremaster  '' should come with the warning `` for serious film buffs only ! '',0.61111
48,made me unintentionally famous -- as the queasy-stomached critic who staggered from the theater and blacked out in the lobby .,0.375
49,"but believe it or not , it 's one of the most beautiful , evocative works i 've seen .",0.94444
50,"garcã­a bernal and talancã³n are an immensely appealing couple , and even though their story is predictable , you 'll want things to work out .",0.75
