,sentence_index,sentence,splitset_label,id,values
0,1,"The Rock is destined to be the 21st Century 's new `` Conan '' and that he 's going to make a splash even greater than Arnold Schwarzenegger , Jean-Claud Van Damme or Steven Segal .",1,226166,0.69444
1,2,The gorgeously elaborate continuation of `` The Lord of the Rings '' trilogy is so huge that a column of words can not adequately describe co-writer\/director Peter Jackson 's expanded vision of J.R.R. Tolkien 's Middle-earth .,1,226300,0.8333299999999999
2,61,"Singer\/composer Bryan Adams contributes a slew of songs -- a few potential hits , a few more simply intrusive to the story -- but the whole package certainly captures the intended , er , spirit of the piece .",1,225801,0.625
3,62,You 'd think by now America would have had enough of plucky British eccentrics with hearts of gold .,1,14646,0.5
4,63,Yet the act is still charming here .,1,14644,0.72222
5,64,"Whether or not you 're enlightened by any of Derrida 's lectures on `` the other '' and `` the self , '' Derrida is an undeniably fascinating and playful fellow .",1,227114,0.8333299999999999
6,68,Just the labour involved in creating the layered richness of the imagery in this chiaroscuro of madness and light is astonishing .,1,224508,0.875
7,72,Part of the charm of Satin Rouge is that it avoids the obvious with humour and lightness .,1,225402,0.72222
8,82,a screenplay more ingeniously constructed than `` Memento '',1,228134,0.8333299999999999
9,131,`` Extreme Ops '' exceeds expectations .,1,227472,0.73611
10,132,"Good fun , good action , good acting , good dialogue , good pace , good cinematography .",1,223512,0.9027799999999999
11,133,You Should Pay Nine Bucks for This : Because you can hear about suffering Afghan refugees on the news and still be unaffected .,1,227271,0.44443999999999995
12,134,Dramas like this make it human .,1,223193,0.80556
13,135,"A thunderous ride at first , quiet cadences of pure finesse are few and far between ; their shortage dilutes the potency of otherwise respectable action .",1,222105,0.44443999999999995
14,136,"Still , this flick is fun , and host to some truly excellent sequences .",1,225973,0.81944
15,214,Australian actor\/director John Polson and award-winning English cinematographer Giles Nuttgens make a terrific effort at disguising the obvious with energy and innovation .,1,222512,0.75
16,228,You walk out of The Good Girl with mixed emotions -- disapproval of Justine combined with a tinge of understanding for her actions .,1,227310,0.61111
17,340,Post 9\/11 the philosophical message of `` Personal Freedom First '' might not be as palatable as intended .,1,225498,0.44443999999999995
18,383,Absorbing character study by Andr̩ Turpin .,1,222172,0.81944
19,387,"If you love reading and\/or poetry , then by all means check it out .",1,223986,0.77778
20,388,You 'll probably love it .,1,227266,0.81944
21,428,"`` Frailty '' has been written so well , that even a simple `` Goddammit ! ''",1,227483,0.63889
22,429,near the end takes on a whole other meaning .,1,234050,0.55556
23,446,"Grenier is terrific , bringing an unforced , rapid-fire delivery to Toback 's Heidegger - and Nietzsche-referencing dialogue .",1,223544,0.875
24,467,The Sundance Film Festival has become so buzz-obsessed that fans and producers descend upon Utah each January to ferret out The Next Great Thing .,1,226173,0.55556
